Sl.,City,Ratings,Country,Year
1,Vienna,100.0,Austria,2023
2,Copenhagen,98.0,Denmark,2023
3,Melbourne,97.8,Australia,2023
4,Sydney,97.4,Australia,2023
5,Vancouver,97.3,Canada,2023
6,Zurich,97.1,Switzerland,2023
7,Calgary,96.8,Canada,2023
7,Geneva,96.8,Switzerland,2023
9,Toronto,96.5,Canada,2023
10,Osaka,96.0,Japan,2023
10,Auckland,96.0,New Zealand,2023
1,Vienna,99.1,Austria,2022
2,Copenhagen,98.0,Denmark,2022
3,Zurich,96.3,Switzerland,2022
3,Calgary,96.3,Canada,2022
5,Vancouver,96.1,Canada,2022
6,Geneva,95.9,Switzerland,2022
7,Frankfurt,95.7,Germany,2022
8,Toronto,95.4,Canada,2022
9,Amsterdam,95.3,Netherlands,2022
10,Melbourne,95.1,Australia,2022
10,Osaka,95.1,Japan,2022
1,Auckland,96.0,New Zealand,2021
2,Osaka,94.2,Japan,2021
3,Adelaide,94.0,Australia,2021
4,Wellington,93.7,New Zealand,2021
4,Tokyo,93.7,Japan,2021
6,Perth,93.3,Australia,2021
7,Zurich,92.8,Switzerland,2021
8,Geneva,92.5,Switzerland,2021
8,Melbourne,92.5,Australia,2021
10,Brisbane,92.4,Australia,2021
1,Vienna,99.1,Austria,2019
2,Melbourne,98.4,Australia,2019
3,Sydney,98.1,Australia,2019
4,Osaka,97.7,Japan,2019
5,Calgary,97.5,Canada,2019
6,Vancouver,97.3,Canada,2019
7,Tokyo,97.2,Japan,2019
7,Toronto,97.2,Canada,2019
9,Copenhagen,96.8,Denmark,2019
10,Adelaide,96.6,Australia,2019
1,Vienna,99.1,Austria,2018
2,Melbourne,98.4,Australia,2018
3,Osaka,97.7,Japan,2018
4,Calgary,97.5,Canada,2018
5,Sydney,97.4,Australia,2018
6,Vancouver,97.3,Canada,2018
7,Tokyo,97.2,Japan,2018
7,Toronto,97.2,Canada,2018
9,Copenhagen,96.8,Denmark,2018
10,Adelaide,96.6,Australia,2018
0,Melbourne,97.5,Australia,2017
0,Vienna,97.4,Austria,2017
0,Vancouver,97.3,Canada,2017
0,Toronto,97.2,Canada,2017
0,Adelaide,96.6,Australia,2017
0,Calgary,96.6,Canada,2017
0,Perth,95.9,Australia,2017
0,Auckland,95.7,New Zealand,2017
0,Helsinki,95.6,Finland,2017
0,Hamburg,95.0,Germany,2017
1,Melbourne,97.5,Australia,2016
2,Vienna,97.4,Austria,2016
3,Vancouver,97.3,Canada,2016
4,Toronto,97.2,Canada,2016
5,Adelaide,96.6,Australia,2016
5,Calgary,96.6,Canada,2016
7,Perth,95.9,Australia,2016
8,Auckland,95.7,New Zealand,2016
9,Helsinki,95.6,Finland,2016
10,Hamburg,95.0,Germany,2016
1,Melbourne,97.5,Australia,2015
2,Vienna,97.4,Austria,2015
3,Vancouver,97.3,Canada,2015
4,Toronto,97.2,Canada,2015
5,Adelaide,96.6,Australia,2015
5,Calgary,96.6,Canada,2015
7,Sydney,96.1,Australia,2015
8,Perth,95.9,Australia,2015
9,Auckland,95.7,New Zealand,2015
10,Helsinki,95.6,Finland,2015
10,ZÃ¼rich,95.6,Switzerland,2015
